"ID","Class","R-group","substituted","∆G solv (kJ/mol) ","E (V vs SHE) ","Short list"
1,"9,10-AQ","OH","Full","-92,83","-0,81","*"
2,"1,5-AQ","OH","Full","-103,41","-0,75","*"
3,"1,10-AQ","OH","Full","-103,53","-0,75","*"
4,"1,4-AQ","OH","Full","-92,67","-0,74","*"
5,"2,3-AQ","OH","Full","-92,66","-0,69","*"
6,"9,10-AQ","NH2","Full","-127,84","-0,51","*"
7,"1,4-AQ","NH2","Full","-125,38","-0,39","*"
8,"1,10-AQ","NH2","Full","-126,65","-0,37","*"
9,"2,9-AQ","NH2","Full","-127,01","-0,35","*"
10,"1,5-AQ","NH2","Full","-131,98","-0,34","*"
11,"2,6-AQ","NH2","Full","-126,9","-0,32","*"
12,"1,7-AQ","NH2","Full","-129,44","-0,3","*"
13,"9,10-AQ","SH","Full","-12,62","-0,3",
14,"1,5-NQ","OH","Full","-64,95","-0,29",
15,"2,9-AQ","OH","Full","-107,1","-0,29","*"
16,"1,5-AQ","CHO","Full","-70,39","-0,28",
17,"1,5-NQ","NH2","Full","-106,22","-0,26","*"
18,"1,4-NQ","NH2","Full","-105,6","-0,22","*"
19,"1,10-AQ","SH","Full","-15,64","-0,21",
20,"1,5-NQ","SH","Full","-7,56","-0,2",
21,"1,4-AQ","SH","Full","-13,57","-0,2",
22,"2,6-NQ","NH2","Full","-100,88","-0,18","*"
23,"9,10-AQ","SiH3","Full","14,03","-0,17",
24,"9,10-AQ","CH3","Full","-23,52","-0,17",
25,"1,5-AQ","SH","Full","-19,99","-0,16",
26,"1,4-NQ","SH","Full","-17,02","-0,14",
27,"1,7-NQ","NH2","Full","-104,51","-0,09","*"
28,"1,10-AQ","PO3H2","Full","-306,07","-0,08","*"
29,"1,2-AQ","OH","Full","-145,4","-0,08","*"
30,"2,6-AQ","N(CH3)2","Full","-77,85","-0,07",
31,"1,7-AQ","N(CH3)2","Full","-66,29","-0,07",
32,"2,6-AQ","OH","Full","-110,54","-0,07","*"
33,"9,10-AQ","OH","R1","-24,99","-0,06",
34,"1,10-AQ","OH","R9","-24,97","-0,06",
35,"2,3-AQ","SH","Full","-16,95","-0,04",
36,"1,7-AQ","OH","Full","-151,92","-0,03","*"
37,"9,10-AQ","NH2","R1","-32,43","-0,03",
38,"1,4-NQ","OH","Full","-106,88","-0,02","*"
39,"1,4-AQ","N(CH3)2","Full","-40,63","-0,01",
40,"1,7-NQ","OH","Full","-81,74","-0,01","*"
41,"2,9-AQ","N(CH3)2","Full","-55,34",0,
42,"2,6-NQ","SH","Full","-21,18","0,01",
43,"2,6-AQ","SH","Full","-11,45","0,01",
44,"9,10-AQ","N(CH3)2","R2","-41,86","0,01",
45,"1,2-AQ","NH2","Full","-151,34","0,02","*"
46,"9,10-AQ","OCH3","R2","-21,19","0,02",
47,"1,4-BQ","NH2","Full","-70,68","0,03",
48,"2,9-AQ","PO3H2","Full","-206,5","0,03","*"
49,"9,10-AQ","PO3H2","R1","-67,02","0,03",
50,"9,10-AQ","NH2","R2","-47,79","0,04",
51,"9,10-AQ","SO3H","R1","-39,5","0,04",
52,"1,2-NQ","OH","Full","-100,13","0,04","*"
53,"9,10-AQ","SiH3","R1","-14,3","0,04",
54,"2,9-AQ","NH2","R1","-33,42","0,05",
55,"1,4-AQ","SiH3","Full","5,07","0,05",
56,"1,10-AQ","SH","R9","-18,42","0,06",
57,"9,10-AQ","SH","R1","-13,91","0,07",
58,"9,10-AQ","CH3","R1","-17,46","0,07",
59,"9,10-AQ","OH","R2","-43,85","0,07",
60,"1,4-AQ","CH3","Full","-19,38","0,07",
61,"9,10-AQ","SH","R2","-24,23","0,08",
62,"9,10-AQ","CH3","R2","-20,89","0,09",
63,"9,10-AQ","C2H3","R2","-20,86","0,09",
64,"2,9-AQ","SO3H","Full","-113,61","0,09","*"
65,"1,4-AQ","NH2","R2","-46,84","0,09",
66,"1,4-NQ","N(CH3)2","Full","-33,3","0,09",
67,"9,10-AQ","F","R2","-17,61","0,1",
68,"9,10-AQ","None","R0","-19,1","0,1",
69,"2,9-AQ","SH","Full","-31,06","0,1",
70,"9,10-AQ","CHO","R1","-28,35","0,1",
71,"9,10-AQ","Cl","R2","-15,62","0,11",
72,"1,4-AQ","OH","R2","-31,65","0,11",
73,"9,10-AQ","SO3H","Full","-102,71","0,11","*"
74,"9,10-AQ","SiH3","R2","-15,68","0,12",
75,"9,10-AQ","C2H3","R1","-18,54","0,13",
76,"9,10-AQ","PO3H2","R2","-79,61","0,13",
77,"1,10-AQ","OH","R4","-28,75","0,13",
