"No.","Name","COSMO","SMD","COSMO","SMD"
1,"phenol",1.5664,1.7382,1.7623,1.9004
2,"2-methylphenol",1.469,1.6026,1.6768,1.9621
3,"3-methylphenol",1.5367,1.8477,1.7058,1.9029
4,"4-methylphenol",1.334,1.6386,1.5477,1.6695
5,"2,4-dimethylphenol",1.2309,1.359,1.4122,1.5606
6,"2,5-dimethylphenol",1.3419,1.4638,1.5271,1.6459
7,"2,4,6-trimethylphenol",1.1395,1.1305,1.428,1.6335
8,"2-ethylphenol",1.4533,1.4654,1.6668,1.7985
9,"3-ethylphenol",1.4696,1.4907,1.7088,2.0151
10,"4-ethylphenol",1.3706,1.4725,1.5898,1.7145
11,"2-t-butylphenol",1.4332,1.5678,1.7157,1.7645
12,"3-t-butylphenol",1.4285,1.4434,1.6637,1.969
13,"4-t-butylphenol",1.3438,1.5009,1.6327,1.8703
14,"2-methoxyphenol",1.257,1.2141,1.4984,1.6445
15,"3-methoxyphenol",1.3152,1.2365,1.6173,1.7664
16,"4-methoxyphenol",1.0197,1.176,1.2455,1.3756
17,"2,6-dimethoxyphenol",1.251,1.6515,1.5693,1.7056
18,"2-methoxy-4-ethylphenol",1.0576,1.1983,1.2653,1.6607
19,"2-methoxy-4-formylphenol",1.3775,1.5171,1.6381,1.4337
20,"2-ethoxyphenol",1.2621,1.4159,1.4971,1.8255
21,"3-ethoxyphenol",1.2865,1.4346,1.5086,1.9633
22,"4-ethoxyphenol",1.0132,1.1668,1.2438,1.3621
23,"2-nitrophenol",2.0103,2.6041,2.2212,2.4025
24,"3-nitrophenol",1.9082,2.5475,2.1526,2.3624
25,"4-nitrophenol",2.1704,2.3792,2.3239,2.5027
26,"2,4-dinitrophenol",2.5103,2.1743,2.7433,3.5361
27,"2-methyl-4,6-dinitrophenol",2.2734,2.3786,2.5381,2.6395
28,"4-methyl-2,6-dinitrophenol",2.2468,2.3852,2.337,2.481
29,"2-phenylphenol",1.4069,1.7238,1.7343,2.0495
30,"3-phenylphenol",1.4964,1.433,1.8019,2.1329
31,"4-phenylphenol",1.2003,1.3526,1.6044,1.6618
32,"2-chlorophenol",1.6829,1.8981,1.8768,1.9621
33,"3-chlorophenol",1.6487,2.0187,1.9067,2.2325
34,"4-chlorophenol",1.5256,1.5859,1.7491,1.7759
35,"2,4-dichlorophenol",1.6297,1.8565,1.8649,2.084
36,"2,4,6-trichlorophenol",1.7459,1.9267,1.9616,2.1419
37,"pentachlorophenol (PCP)",1.8762,2.1674,2.1516,2.4407
38,"2-hydroxyphenol",1.2572,1.4419,1.4219,1.6006
39,"3-hydroxyphenol",1.3877,1.5898,1.6386,1.8304
40,"4-hydroxyphenol",1.065,1.2548,1.2278,1.4097
41,"2-cyanophenol",1.8109,2.0866,2.0221,2.282
42,"3-cyanophenol",1.7759,2.05,2.0075,2.2788
43,"4-cyanophenol",1.8133,2.0726,2.0987,2.3015
44,"2-hydroxyacetophenone",1.783,1.9483,1.9862,2.4141
45,"3-hydroxyacetophenone",1.7199,2.2134,1.9077,2.3993
46,"4-hydroxyacetophenone",1.813,1.6931,2.0712,2.2344
47,"2-hydroxybenzoic acid",1.9288,2.1219,2.09,2.7013
48,"3-hydroxybenzoic acid",1.7943,1.5741,1.9654,2.2047
49,"4-hydroxybenzoic acid",1.9212,2.0784,2.0872,2.7039
50,"4-sulfonatophenol (a)",1.324,2.1543,1.6096,2.4189
51,"4-alanylphenol (a)",1.6921,2.0828,1.9513,2.5268
52,"triclosan",1.4401,1.6444,1.6857,2.0753
53,"dopamine",1.1791,1.5809,1.4789,1.7901
54,"P-coumaric acid",1.4431,2.0574,1.6794,2.2915
55,"bisphenol A",1.3205,1.7158,1.7178,2.2197
