"No.","Name","TrivName","CAS-RN","Source","Purity %","pKa1","pKa2(a)"
1,"phenol","NA","108-95-2","Sigma",-99,"10,02",
2,"2-methylphenol","o-cresol","95-48-7","Sigma",,"10,37",
3,"3-methylphenol","m-cresol","108-39-4","TCI",-98,"10,13",
4,"4-methylphenol","p-cresol","106-44-5","Matheson Coleman @ Bell",,"10,36",
5,"4-ethylphenol","NA",0123-07-09,"Avocado",-97,"10,32",
6,"2-methoxyphenol","o-guaiacol",1990-05-01,"Alfa Aesar",-98,"9,98",
7,"3-methoxyphenol","m-guaiacol","150-19-6","Acros",-97,"9,49",
8,"4-methoxyphenol","p-guaiacol","150-76-5","Acros",-99,"9,94",
9,"2-nitrophenol","NA","88-75-5","Acros",-99,"6,63",
10,"3-nitrophenol","NA","554-84-7","Acros",-99,"7,89",
11,"4-nitrophenol","NA",0100-02-07,"Sigma-Aldrich",-99,"7,07",
12,"2,4-dinitrophenol","NA","51-28-5","Acros",-98,"4,35",
13,"2-methyl-4,6-dinitrophenol","DNOC","534-52-1","Sigma-Aldrich","-99,9","4,45",
14,"4-methyl-2,6-dinitrophenol","DNPC","609-93-8","Combi-Blocks",-95,"4,57",
15,"2-phenylphenol","NA","90-43-7","Aldrich",-99,"9,69",
16,"2-chlorophenol","NA","95-57-8","Acros",-98,"7,97",
17,"3-chlorophenol","NA","108-43-0","Acros",-99,"8,79",
18,"4-chlorophenol","NA","106-48-9","Sigma-Aldrich",-99,"8,96",
19,"2-hydroxyphenol","catechol","120-80-9","Aldrich","-99,5","9,34","12,39"
20,"3-hydroxyphenol","resorcinol","108-46-3","Aldrich",-99,"9,26","10,73"
21,"4-hydroxyphenol","hydroquinone","123-31-9","Aldrich",-99,"9,68","11,55"
22,"4-cyanophenol","NA","767-00-0","Acros",-99,"7,81",
23,"3-hydroxyacetophenone","NA","121-71-1","TCI",-98,"8,92",
24,"4-hydroxyacetophenone","NA","99-93-4","MP Biomedicals","-99,8","7,79",
25,"2-hydroxybenzoic acid","o-salicylic acid","69-72-7","Sigma-Aldrich",-99,"13,23",
26,"3-hydroxybenzoic acid","m-salicylic acid",1999-06-09,"Sigma-Aldrich",-99,"9,55",
27,"4-hydroxybenzoic acid","p-salicylic acid","99-96-7","Aldrich",-99,"9,67",
28,"triclosan","NA","3380-34-5","Sigma-Aldrich",-97,"7,68",
29,"dopamine","NA","51-61-6","Ark Pharm",-97,"10,01","12,93"
30,"bisphenol A","NA",1980-05-07,"Acros",-97,"9,78","10,39"
31,"3-aminophenol","NA","591-27-5","Aldrich",-98,"9,82",
32,"4-aminophenol","NA","123-30-8","Sigma-Aldrich",-98,"10,4",
33,"2,5-dimethylphenol","NA","95-87-4","Aldrich",-99,"10,47",
34,"2,6-dimethoxyphenol","NA",1991-10-01,"Fluka",-98,"9,37",
35,"4-ethyl-2-methoxyphenol","NA","2785-89-9","Alfa Aesar",-98,"10,3",
36,"2-methoxy-4-formylphenol","vanillin","121-33-5","Aldrich",-99,"7,81",
37,"2,4,6-trimethylphenol","NA","527-60-6","Aldrich",-99,"11,07",
38,"2,4,6-trichlorophenol","NA",1988-06-02,"Sigma",-98,"5,99",
