"date";"Sample";"Flavour";"Type";"Ox";"Pulse";"Cond";"RedOx";"DryRest";"FlowOut";"pH";"D400";"D440";"D490";"D540";"Mass"
18/09/19;"Feel green";"Н";"З";0,0019;0,1266;0,2545;0,6338;0,5447;0,3991;0,7736;0,3416;0,0905;0,2822;0,3273;0,9949
18/09/19;"Monomax";"Н";"З";0,6671;0,3928;0,3482;0,0858;0,9229;0,2848;0,8792;0,3954;0,0990;0,2990;0,3793;0,9625
18/09/19;"Lipton";"Н";"Ч";0,1303;0,2723;0,2152;0,1690;0,4924;0,3200;0,6220;0,8028;0,2270;0,6668;0,6785;0,9825
18/09/19;"Ahmad";"Н";"З";0,4955;0,2386;0,3450;0,3316;0,5464;0,4666;0,8931;0,3356;0,0806;0,2561;0,2198;0,9789
18/09/19;"Холоста";"H2O";"H2O";0,0000;0,0000;0,9030;0,8596;0,0000;0,5061;0,8165;0,0000;0,0000;0,0000;0,0000;0,9421
25/09/19;"CURTIS (MANGO)";"A";"З";0,9713;0,6512;0,2998;0,1345;0,4598;0,2150;0,8123;0,2471;0,0723;0,2286;0,2140;0,9016
25/09/19;"CURTIS(EARL GREY PASSION)";"A";"Ч";0,7692;0,9905;0,1999;0,5707;0,4024;0,1557;0,5954;0,7562;0,2277;0,6750;0,7554;0,9668
25/09/19;"TESS(індійський чорний)";"A";"Ч";0,4179;0,8438;0,1854;0,2056;0,4200;0,0000;0,5726;0,6986;0,2121;0,6109;0,6324;0,9272
25/09/19;"TESS(китайський зелений)";"A";"З";0,5238;0,1532;0,3222;0,1535;0,4867;0,3610;0,8991;0,3091;0,0836;0,2496;0,2787;0,9896
25/09/19;"холоста";"H2O";"H2O";0,1205;0,0000;0,9177;0,9480;0,0000;0,6788;0,8222;0,0000;0,0000;0,0000;0,0000;0,0000
2/10/2019;"Tess (заварний)";"Н";"З";0,4781;0,3874;0,5221;0,1285;0,5455;0,4937;0,8243;0,2242;0,0818;0,2695;0,2770;0,9584
2/10/2019;"Heladiv";"A";"З";0,7160;0,4523;0,2596;0,1329;0,5698;0,5806;0,8247;0,4471;0,1429;0,4265;0,5039;0,9839
2/10/2019;"Greenfield (заварний) ";"A";"Ч";0,4937;0,4972;0,0960;0,3782;0,7338;0,2634;0,6313;0,7860;0,2623;0,7377;0,8064;0,9852
2/10/2019;"холоста";"H2O";"H2O";0,0005;0,3313;0,9005;0,6114;0,0000;0,7094;0,8136;0,0000;0,0000;0,0000;0,0000;0,0000
2/10/2019;"Richard";"Н";"Ч";0,4370;0,4827;0,2365;0,4453;0,5056;0,4003;0,6346;0,6980;0,2121;0,6537;0,6803;0,9370
2/10/2019;"Принцеса нурі";"Н";"Ч";0,3821;0,4059;0,1875;0,5104;0,4932;0,3139;0,5948;0,8093;0,2346;0,7185;0,6979;0,9486
2/10/2019;"Curtis truffle";"A";"Ч";0,4549;0,5082;0,2343;0,5197;0,4769;0,2731;0,6471;0,7301;0,2349;0,7120;0,7894;0,9681
2/10/2019;"Tess  sunrise";"A";"Ч";0,5495;0,3542;0,1012;0,4313;0,6469;0,3103;0,5315;0,9947;0,3164;0,9371;0,9441;0,9581
9/10/2019;"Greenfield Golden ceylon";"Н";"Ч";0,4377;0,4708;0,2587;0,3483;0,5271;0,5462;0,5880;0,8778;0,2736;0,7757;0,8102;0,9876
9/10/2019;"Greenfield Green Melissa";"A";"З";0,4547;0,4645;0,3131;0,0547;0,6482;0,4896;0,8624;0,3913;0,1053;0,3299;0,4238;0,9697
9/10/2019;"Greenfield Summer bouquet";"A";"Трав'яний";0,1648;0,3628;0,0000;0,9755;0,8521;0,8423;0,0000;0,3309;0,1156;0,5124;0,8925;0,9296
9/10/2019;"Холоста";"H2O";"H2O";0,0250;0,2440;0,9940;0,8585;0,0000;0,8742;0,7875;0,0000;0,0000;0,0000;0,0000;0,0000
20/10/2019;"чай чорний базовий купажований дрібний";"Н";"Ч";0,4259;0,1310;0,4341;0,3971;0,7884;0,1380;0,6957;0,6121;0,1623;0,4677;0,5735;0,9162
