"Pavitt, Bylaska, Tratnyek",,,,,,,,,
"No.","Name","E12a","Epa1stCVA","AvgCVA","Epa1stSWV","AvgSWV","solvent","support electrolyte","Ref-electrode"
1,"phenol","0,874","1,022","1,087","0,997","0,988",,,
2,"2-methylphenol","0,797","0,944","0,974","0,872","0,893",,,
3,"3-methylphenol","0,848","0,996","0,996","0,933","0,998",,,
4,"4-methylphenol","0,784","0,921","1,005","0,85","0,908",,,
5,"4-ethylphenol","0,808","0,924","1,016","0,856","0,92",,,
6,"2-methoxyphenol","0,697","0,815","0,841","0,774","0,794",,,
7,"3-methoxyphenol","0,86","0,983","0,983","0,977","0,999",,,
8,"4-methoxyphenol","0,647","0,79","0,806","0,739","0,76",,,
9,"2-nitrophenol","1,087","1,222","1,252","1,141","1,171",,,
10,"3-nitrophenol","1,096","1,222","1,273","1,183","1,214",,,
11,"4-nitrophenol","1,165","1,299","1,328","1,263","1,249",,,
12,"2,4-dinitrophenol","NA","1,492","1,496","1,479","1,493",,,
13,"2-methyl-4,6-dinitrophenol","NA","1,345","1,397","1,356","1,345",,,
14,"4-methyl-2,6-dinitrophenol","NA","1,222","1,262","1,193","1,203",,,
15,"2-phenylphenol","0,804","0,905","0,995","0,85","0,914",,,
16,"2-chlorophenol","0,866","1,027","1,103","0,963","1,046",,,
17,"3-chlorophenol","0,975","1,091","1,091","1,054","1,11",,,
18,"4-chlorophenol","0,894","1,037","1,109","0,979","0,979",,,
19,"2-hydroxyphenol","NA","NA","NA","0,582","0,605",,,
20,"3-hydroxyphenol","NA","NA","NA","0,945","0,966",,,
21,"4-hydroxyphenol","NA","0,546","0,58","0,509","0,532",,,
22,"4-cyanophenol","NA","1,26","1,282","1,189","1,213",,,
23,"3-hydroxyacetophenone","0,995","1,123","1,166","1,062","1,085",,,
24,"4-hydroxyacetophenone","1,032","1,198","1,209","1,112","1,139",,,
25,"2-hydroxybenzoic acid","1,086","1,214","1,267","1,147","1,172",,,
26,"3-hydroxybenzoic acid","NA","1,083","1,109","1,004","1,029",,,
27,"4-hydroxybenzoic acid","0,957","1,115","1,15","1,074","1,065",,,
28,"triclosan","NA","0,948","1,035","0,941","1,007",,,
29,"dopamine","NA","0,53","0,526","0,501","0,486",,,
30,"bisphenol!A","NA","0,914","0,914","0,897","0,912",,,
31,"3-aminophenol","NA","NA","NA","0,877","0,884",,,
32,"4-aminophenol","NA","0,426","0,425","0,427","0,423",,,
33,"2,5-dimethylphenol","NA","0,906","0,906","0,856","0,86",,,
34,"2,6-dimethoxyphenol","0,62","0,667","0,688","0,635","0,664",,,
35,"4-ethyl-2-methoxyphenol","NA","0,758","0,765","0,702","0,718",,,
36,"2-methoxy-4-formylphenol","NA","0,967","0,985","0,911","0,919",,,
37,"2,4,6-trimethylphenol","NA","0,75","0,769","0,703","0,729",,,
38,"2,4,6-trichlorophenol","NA","0,952","0,974","0,923","0,925",,,
