"Entries(as_shown_in_Fig.2)","SMILES","EA(eV)","ERed1","ERed2","EOx1","ERed1*","dE","Comment","Ref.electrode","Computations"
1,,"2,29","1,55",1,"5,26","1,58","0,03","1,52","Li/Li+","B3LYP/6-31+G(d)"
2,,"2,1","1,44","0,89","5,14","1,45","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
3,,"1,94","1,34","0,83","5,06","1,34",0,"(1.45 (ref. 52))","Li/Li+","B3LYP/6-31+G(d)"
4,,"2,21","1,49","0,91","4,9","1,53","0,04",,"Li/Li+","B3LYP/6-31+G(d)"
5,,"2,21","1,53","0,89","4,97","1,53",0,,"Li/Li+","B3LYP/6-31+G(d)"
6,,"2,1","1,44","0,85","4,74","1,45","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
7,,"2,15","1,44","0,93","4,63","1,48","0,04",,"Li/Li+","B3LYP/6-31+G(d)"
8,,"2,12","1,43","0,84","4,71","1,46","0,03",,"Li/Li+","B3LYP/6-31+G(d)"
9,,"2,08","1,45","0,81","4,89","1,44","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
10,,"2,14","1,48","0,88","4,7","1,48",0,,"Li/Li+","B3LYP/6-31+G(d)"
11,,"2,08","1,36","0,85","5,06","1,44","0,08",,"Li/Li+","B3LYP/6-31+G(d)"
12,,"1,84","1,3","0,77","4,86","1,27","0,03",,"Li/Li+","B3LYP/6-31+G(d)"
13,,"1,89","1,29","0,73","4,76","1,3","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
14,,"1,98","1,33","0,76","4,91","1,37","0,04",,"Li/Li+","B3LYP/6-31+G(d)"
15,,"2,05","1,31","0,85","5,03","1,42","0,11",,"Li/Li+","B3LYP/6-31+G(d)"
16,,"1,92","1,25","0,69","4,66","1,32","0,07",,"Li/Li+","B3LYP/6-31+G(d)"
17,,"1,82","1,18","0,63","4,57","1,25","0,07",,"Li/Li+","B3LYP/6-31+G(d)"
18,,"1,95","1,36","0,74","5,01","1,35","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
19,,"1,9","1,24","0,67","4,91","1,31","0,07",,"Li/Li+","B3LYP/6-31+G(d)"
20,,"1,89","1,31","0,75","4,83","1,31",0,,"Li/Li+","B3LYP/6-31+G(d)"
21,,"1,79","1,25","0,69","4,77","1,24","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
22,,"1,83","1,21","0,66","4,79","1,26","0,05",,"Li/Li+","B3LYP/6-31+G(d)"
23,,"1,86","1,2","0,66","4,69","1,28","0,08",,"Li/Li+","B3LYP/6-31+G(d)"
24,,"1,87","1,19","0,63","4,69","1,29","0,1",,"Li/Li+","B3LYP/6-31+G(d)"
25,,"1,64","1,14","0,49","4,27","1,13","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
26,,2,"1,36","0,86","5,06","1,38","0,02",,"Li/Li+","B3LYP/6-31+G(d)"
27,,"1,83","1,46","0,87","4,73","1,27","0,19",,"Li/Li+","B3LYP/6-31+G(d)"
28,,"2,1","1,43","0,89","5,15","1,45","0,02",,"Li/Li+","B3LYP/6-31+G(d)"
29,,"1,98","1,65","0,93","5,16","1,36","0,29",,"Li/Li+","B3LYP/6-31+G(d)"
30,,"1,91","1,28","0,75","4,4","1,32","0,04",,"Li/Li+","B3LYP/6-31+G(d)"
31,,"1,79","1,24","0,75","4,06","1,23","0,01",,"Li/Li+","B3LYP/6-31+G(d)"
32,,"1,58","1,03","0,59","4,06","1,09","0,06",,"Li/Li+","B3LYP/6-31+G(d)"
33,,"1,52","1,18","0,63","4,57","1,05","0,13",,"Li/Li+","B3LYP/6-31+G(d)"
34,,"1,96","1,31","0,77","4,96","1,35","0,04",,"Li/Li+","B3LYP/6-31+G(d)"
35,,"2,23","1,55","1,09","4,73","1,54","0,01","(1.77 (ref. 52))","Li/Li+","B3LYP/6-31+G(d)"
36,,"2,7","1,78","1,35","5,58","1,86","0,08",,"Li/Li+","B3LYP/6-31+G(d)"
37,,"2,82","2,08","1,62","5,48","1,95","0,13",,"Li/Li+","B3LYP/6-31+G(d)"
38,,"2,68","2,01","1,53","5,46","1,85","0,16",,"Li/Li+","B3LYP/6-31+G(d)"
39,,"2,65","2,15","1,67","5,61","1,83","0,32",,"Li/Li+","B3LYP/6-31+G(d)"
40,,"2,82","2,07","1,6","5,29","1,95","0,12",,"Li/Li+","B3LYP/6-31+G(d)"
