"Entries","Molecular_weight
MW (g mol -1 )","Number_of_electrons
N","Molcap(Ahkg1)
MC = nF/(3.6 * MW)","Average_redox_voltage(V)","Specific_energy(SE)(vs.DBBB)(Whkg1)","Normalized_speciec
energy vs. quinoxaline (Q)",,,"Ref.electrode","Computations"
1,"130,15",2,"411,86","1,28","1122,31",1,,"(Q)","Li/Li+","B3LYP/6-31+G(d)"
2,"144,17",2,"371,8","1,17","1054,06","0,94",,,,
3,"158,2",2,"338,83","1,09","987,69","0,88",,,,
4,"144,17",2,"371,8","1,2","1041,05","0,93",,,,
5,"144,17",2,"371,8","1,21","1037,33","0,92",,,,
6,"158,2",2,"338,83","1,15","967,36","0,86",,,,
7,"158,2",2,"338,83","1,19","953,81","0,85",,,,
8,"158,2",2,"338,83","1,14","970,75","0,86",,,,
9,"158,2",2,"338,83","1,13","972,44","0,87",,,,
10,"158,2",2,"338,83","1,18","955,5","0,85",,,,
11,"172,33",2,"311,05","1,12","895,82","0,8",,,,
12,"172,33",2,"311,05","1,04","922,26","0,82",,,,
13,"172,33",2,"311,05","1,01","930,03","0,83",,,,
14,"214,31",2,"250,12","1,05","739,1","0,66",,,,
15,"186,25",2,"287,8","1,04","851,89","0,76",,,,
16,"242,36",2,"221,17","0,97","670,15","0,6",,,,
17,"256,39",2,"209,07","0,91","647,07","0,58",,,,
18,"184,24",2,"290,94","1,05","858,28","0,76",,,,
19,"212,29",2,"252,5","0,94","772,65","0,69",,,,
20,"214,31",2,"250,12","1,03","742,85","0,66",,,,
21,"228,33",2,"234,76","0,97","711,33","0,63",,,,
22,"242,26",2,"221,26","0,94","678,17","0,6",,,,
23,"256,39",2,"209,07","0,93","641,84","0,57",,,,
24,"270,41",2,"198,23","0,91","612,53","0,55",,,,
25,"214,31",2,"250,12","0,82","796,63","0,71",,,,
26,"160,17",2,"334,66","1,11","967,18","0,86",,,,
27,"190,2",2,"281,82","1,17","798,97","0,71",,,,
28,"145,14",2,"369,32","1,16","1048,87","0,93",,,,
29,"160,13",2,"334,75","1,29","907,16","0,81",,,,
30,"145,16",2,"369,27","1,02","1102,27","0,98",,,,
31,"173,21",2,"309,47",1,"929,95","0,83",,,,
32,"160,18",2,"334,64","0,81","1067,51","0,95",,,,
33,"216,28",2,"247,84","0,91","767,07","0,68",,,,
34,"162,15",2,"330,58","1,04","978,51","0,87",,,,
35,"282,34",2,"189,85","1,32","508,8","0,45",,,,
36,"199,34",2,"268,9","1,57","654,78","0,58",,,,
37,"174,16",2,"307,78","1,85","661,73","0,59",,,,
38,"188,18",2,"284,85","1,77","635,21","0,57",,,,
39,"246,22",2,"217,7","1,91",455,"0,41",,,,
40,"172,18",2,"311,32","1,84","674,01","0,6",,,,
