"Entries","Molecular_species","LUMO(eV)","*Ered1","Ered1","Ered[х]","Alternanive_ref","Ref.electrode","Computations"
41,"Pyrazine","1,83","1,07","1,1","1,12",56,"Li/Li+","B3LYP/6-31+G(d)"
42,"2-Methyl-pyrazine","1,62","0,95","0,97",,,"Li/Li+","B3LYP/6-31+G(d)"
43,"2,3-Dimethyl-pyrazine","1,44","0,84","0,82",,,"Li/Li+","B3LYP/6-31+G(d)"
44,"2,5-Dimethyl-pyrazine","1,45","0,85","1,01",,,"Li/Li+","B3LYP/6-31+G(d)"
45,"2,6-Dimetyl-pyrazine","1,5","0,88","0,96",,,"Li/Li+","B3LYP/6-31+G(d)"
46,"2,3,5-Trimethyl-pyrazine","1,27","0,74","0,84",,,"Li/Li+","B3LYP/6-31+G(d)"
47,"2,3,5,6-Tetramethyl-pyrazine","1,12","0,65","0,69",,,"Li/Li+","B3LYP/6-31+G(d)"
48,"2-Methoxy-pyrazine","1,58","0,92","1,02",,,"Li/Li+","B3LYP/6-31+G(d)"
49,"2,3-Dimethoxy-pyrazine","1,13","0,66","0,69",,,"Li/Li+","B3LYP/6-31+G(d)"
50,"2,5-Dimethoxy-pyrazine","1,53","0,89","1,02",,,"Li/Li+","B3LYP/6-31+G(d)"
51,"2,6-Dimethoxy-pyrazine","1,24","0,72","0,75",,,"Li/Li+","B3LYP/6-31+G(d)"
52,"2,3,5,6-Tetramethoxy-pyrazine","0,81","0,47","0,66",,,"Li/Li+","B3LYP/6-31+G(d)"
53,"Phenazine","2,75","1,9","2,01","2,04",57,"Li/Li+","B3LYP/6-31+G(d)"
54,"1-Methyl-phenazine","2,69","1,85","1,96",,,"Li/Li+","B3LYP/6-31+G(d)"
55,"2-Methyl-phenazine","2,85","1,97","1,98",,,"Li/Li+","B3LYP/6-31+G(d)"
56,"1,2-Dimethyl-phenazine","2,62","1,81","1,95",,,"Li/Li+","B3LYP/6-31+G(d)"
57,"1,3-Dimethyl-phenazine","2,58","1,78","1,88",,,"Li/Li+","B3LYP/6-31+G(d)"
58,"1,4-Dimethyl-phenazine","2,62","1,81","1,91",,,"Li/Li+","B3LYP/6-31+G(d)"
59,"1,2,3-Trimethyl-phenazine","2,53","1,74","1,86",,,"Li/Li+","B3LYP/6-31+G(d)"
60,"1,2,3,4-Tetramethyl-phenazine","2,45","1,69","1,99",,,"Li/Li+","B3LYP/6-31+G(d)"
61,"2,3-Dimethyl-phenazine","2,57","1,77","1,91",,,"Li/Li+","B3LYP/6-31+G(d)"
62,"1-Chloro-phenazine","2,95","2,04","2,13",,,"Li/Li+","B3LYP/6-31+G(d)"
63,"2-Chloro-phenazine","2,95","2,04","2,11",,,"Li/Li+","B3LYP/6-31+G(d)"
64,"1,2,8,9-Tetramethyl-phenazine","2,49","1,72","1,84",,,"Li/Li+","B3LYP/6-31+G(d)"
65,"1,4,6,9-Tetramethyl-phenazine","2,43","1,67","1,74",,,"Li/Li+","B3LYP/6-31+G(d)"
66,"1,2,7,8-Tetramethyl-phenazine","2,46","1,7","1,81",,,"Li/Li+","B3LYP/6-31+G(d)"
67,"1,2,6,7-Tetramethyl-phenazine","2,45","1,69","1,78",,,"Li/Li+","B3LYP/6-31+G(d)"
68,"2,3,7,8-Tetramethyl-phenazine","2,4","1,65","1,8",,,"Li/Li+","B3LYP/6-31+G(d)"
69,"1,2,3,4,6,7,8,9-Octamethyl-phenazine","2,18","1,51","1,57",,,"Li/Li+","B3LYP/6-31+G(d)"
60,"1-tert-Butyl-phenazine","2,68","1,85","1,9",,,"Li/Li+","B3LYP/6-31+G(d)"
71,"2-tert-Butyl-phenazine","2,67","1,84","1,96",,,"Li/Li+","B3LYP/6-31+G(d)"
72,"Bipyridine-bipyridine","2,02","1,18","1,31","1,19",58,"Li/Li+","B3LYP/6-31+G(d)"
73,"2-Methyl-bipyridine","1,94","1,13","1,27",,,"Li/Li+","B3LYP/6-31+G(d)"
74,"2,3-Dimethyl-bipyridine","1,62","0,94",1,,,"Li/Li+","B3LYP/6-31+G(d)"
75,"2,5-Dimethyl-bipyridine","1,7","0,99","1,05",,,"Li/Li+","B3LYP/6-31+G(d)"
76,"2,6-Dimethyl-bipyridine","1,87","1,09","1,21",,,"Li/Li+","B3LYP/6-31+G(d)"
77,"2,3,5,6-Tetramethyl-bipyridine","1,17","0,69","0,7",,,"Li/Li+","B3LYP/6-31+G(d)"
78,"2,2’-Dimethyl-bipyridine","1,86","1,09","1,21",,,"Li/Li+","B3LYP/6-31+G(d)"
79,"2,2’,6,6’-Tetramethyl-bipyridine","1,72",1,"1,15",,,"Li/Li+","B3LYP/6-31+G(d)"
80,"2,2’,3,3’,5,5’,6,6’-Octamethyl-bipyridine","0,63","0,37","0,32",,,"Li/Li+","B3LYP/6-31+G(d)"
