"Compound"," E12_in_V"," deltaE12_in_V ","  ip_in_uA"
"Phenol","0,633",0,"3,24"
"p-Cresol*","0,543","0,09","2,7"
"o-Cresol","0,556","0,077",3
"m-Cresol","0,607","0,026","3,82"
"p-Ethylphenol(b)","0,567","0,066","2,6"
"o-Ethylphenol ","0,551","0,082","2,46"
"m-Ethykhenol","0,616","0,017","3,2"
"p-Methoxyphenol","0,406","0,227","3,53"
"o-Methoxyphenol","0,456","0,177","3,6"
"m-hlethoxyphenol","0,619","0,014","3,45"
"p-Ethoxyphenol","0,413","0,22","3,2"
"o-Ethoxyphenol","0,451","0,182","3,45"
"m-Ethoxyphenol","0,62","0,013","2,65"
"p-Nitrophenol","0,924","-0,291","3,4"
"o-Nitrophenol","0,846","-0,213","3,9"
"m-Nitrophenol","0,855","-0,222","3,7"
"p-Hydroxyacetophenone(b)","0,791","-0,158","3,12"
"o-Hydroxyacetophenone","0,801","-0,168","3,9"
"m-Hydroxyacetophenone","0,754","-0,121","2,2"
"p-Hydroxybenzoic acid","0,716","-0,083","2,95"
"Salicylic acid","0,845","-0,212","3,21"
"p-Chlorophenol","0,653","-0,02","2,75"
"o-Chlorophenol","0,625","-0,008","2,81"
"m-ChloroDhenol","0,734","0,101","3,35"
"p-tert-Butylphenol","0,578","0,055","2,1"
"o-tert-Butylphenol","0,552","0,081","1,45"
"p-Phenylphenol","0,534","0,099","2,3"
"o-Phenylphenol","0,563","0,07","2,15"
"Aniline","0,525",0,"3,65"
"p-Toluidine","0,537","0,088","2,24"
"o-Toluidine","0,595","0,03","3,25"
"m-Toluidine","0,606","0,019","3,78"
"p-Ethylaniline","0,568","0,057","2,2"
"o-Ethylaniline3","0,602","0,023","3,1"
"p-Anisidine","0,393","0,232","1,87"
"o-Anisidine","0,498","0,127","3,35"
"m- Anisidine","0,615","0,01","4,2"
"p-Phenetidine","0,388","0,237","1,71"
"o-Phenetidine","0,499","0,126","3,25"
"m-Phenetidine","0,608","0,017","3,31"
"p-Nitroaniline","0,935","-0,31","3,6"
"p-Nitroaniline","0,989","-0,364","3,95"
"m-Nitroaniline","0,854","-0,229","3,4"
"p-Aminoacetophenone","0,82","-0,195","3,4"
"o-Aminoacetophenone","0,847","-0,222","8,5"
"m-Aminoacetohenone(b)","0,758","-0,133","2,7"
"p-Aminobenzoic acid","0,714","-0,089","3,03"
"Anthranilic acid","0,676","-0,051","3,16"
"m-Aminobenzoic acid","0,668","-0,043","2,56"
"p-Chloroaniline","0,675","-0,05","2,6"
"o-Chloroaniline","0,742","-0,122","3,1"
"m-Chloroaniline","0,774","-0,149","3,0"
